Date,"Resolution Numbers","Minutes Item","Resolution Letter",Action,Category,Type,Description,"Street Name","From Address","To Address","Cross Street",Side,"From Feet","To Feet",Hour,"Start Time","End Time",Day,Permits,"Week 1","Week 2","Week 3","Week 4","Week 5","Order Number","Project Id","Project Name","Project Status","Project Update","Project Link",PDF,Video,MP3
2010-01-05,10-002,10.1,QQQ,RESCIND,Parking,"PERPENDICULAR PARKING","Russ Street, west side, from Howard Street to 126 feet southerly.","Russ Street",100,130,"Howard Street",West,0,126,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,RRR,RESCIND,Parking,"PERPENDICULAR PARKING","Russ Street, west side, from Folsom Street to 151 feet northerly.","Russ Street",160,198,"Folsom Street",West,0,151,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,VV,ESTABLISH,Parking,"NO PARKING ANY TIME","Gold Mine Drive, north side, from Diamond Heights Boulevard to 140 feet westerly.","Gold Mine Drive",86,90,"Diamond Heights Boulevard",North,0,140,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,BBB,RESCIND,Parking,"1 HOUR PARKING","ONE-HOUR TIME LIMIT, 9 AM TO 6 PM, EXCEPT SUNDAY - Capp Street, east side, from 17th Street to 80 feet northerly.","Capp Street",191,199,"17th Street",East,0,80,1,"9:00 AM","6:00 PM","MONDAY THROUGH SATURDAY",,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,A,ESTABLISH,Transit,"BLUE ZONE","4799 3rd Street, east side, at parking meter space #4719","3rd Street",4799,4799,,East,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,B,ESTABLISH,Transit,"BLUE ZONE","1599 Newcomb Avenue, south side, from 0 feet to 18 feet east of the east crosswalk at Mendell Street.","Newcomb Avenue",1599,1599,,South,0,18,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,C,ESTABLISH,Transit,"BLUE ZONE","1699 Steiner Street, west side, from 13 feet to 33 feet south of the crosswalk line.","Steiner Street",1699,1699,,West,13,33,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,Y,RESCIND,Transit,"BLUE ZONE","77 Van Ness Avenue, east side, from 26 feet to 49 feet south of Fell Street.","Van Ness Avenue",77,77,"Fell Street",East,26,49,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,Z,ESTABLISH,Transit,"BLUE ZONE","77 Van Ness Avenue, east side, from 45 feet to 73 feet north of Hickory Street.","Van Ness Avenue",77,77,"Hickory Street",East,45,73,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,Q,ESTABLISH,Parking,"NO PARKING VEHICLES GREATER THAN 6 FEET HIGH","Lincoln Way, south side, from 28th Avenue to 100 feet westerly.","Lincoln Way",2701,2701,,South,0,100,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,DDD,ESTABLISH,Transit,"BLUE ZONE","Omar Way, south side, from 201 feet to 225 feet west of Sequoia Way.","Omar Way",87,99,"Sequoia Way",South,201,225,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,R,ESTABLISH,Parking,"NO PARKING VEHICLES GREATER THAN 6 FEET HIGH","Lincoln Way, south side, from 29th Avenue to 100 feet easterly.","Lincoln Way",2799,2799,,South,0,100,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,UU,ESTABLISH,Parking,"TOW AWAY NO PARKING","Laguna Street, east side, from Sutter Street to 46 feet southerly.","Laguna Street",1692,1698,"Sutter Street",East,0,46,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,AAAA,ESTABLISH,Pedestrian,"RAISED CROSSWALK","Northeast leg of the 7th and Minna Streets intersection (crossing Minna Street).","Minna Street",599,599,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,BBBB,ESTABLISH,Pedestrian,"RAISED CROSSWALK","Southwest leg of the 6th and Minna Streets intersection (crossing Minna Street).","Minna Street",501,501,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,EEE,ESTABLISH,Parking,"PARKING METER","PARKING METER AREA 3, 2-HOUR TIME LIMIT, 9 AM TO 6 PM, EXCEPT SUNDAYS - Balboa Street, both sides, between 3rd and 7th Avenues.","Balboa Street",200,598,,,,,2,"9:00 AM","6:00 PM","MONDAY THROUGH SATURDAY",,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,CCCC,establish,pedestrian,"raised crosswalk","Northwest leg of the Folsom and Harriet Streets intersection (crossing Harriet Street).","Folsom Street",,,"Harriet Street",,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,EEE,ESTABLISH,Parking,"PARKING METER","PARKING METER AREA 3, 2-HOUR TIME LIMIT, 9 AM TO 6 PM, EXCEPT SUNDAYS - Balboa Street, both sides, between 3rd and 7th Avenues.","Balboa Street",201,599,,,,,2,"9:00 AM","6:00 PM","MONDAY THROUGH SATURDAY",,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,DDDD,establish,pedestrian,"raised crosswalk","Northeast leg of the 7th and Natoma Streets intersection (crossing Natoma Street).","7th Street",599,599,"Natoma Street",,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,EEEE,ESTABLISH,Pedestrian,"RAISED CROSSWALK","Intersection of Russ and Minna Streets.","Russ Street",1,25,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,FFFF,ESTABLISH,Pedestrian,"RAISED CROSSWALK","Russ Street, from Minna Street to 76 feet southerly (to create space for a plaza, but allow emergency vehicle access). ","Russ Street",1,25,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,D,ESTABLISH,Traffic,"STOP SIGN","19th Street at San Bruno Avenue, stopping 19th Street.","19th Street",2301,2301,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,E,ESTABLISH,Traffic,"STOP SIGN","Minna Street at 7th Street, stopping Minna Street.","Minna Street",598,598,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,F,ESTABLISH,Traffic,"STOP SIGN","Russ Street at Howard Street, stopping Russ Street. ","Russ Street",101,101,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,G,ESTABLISH,Traffic,"STOP SIGN","Harriet Street at Howard Street, stopping Harriet Street. ","Harriet Street",2,2,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,H,ESTABLISH,Traffic,"STOP SIGN","Moss Street at Folsom Street, stopping Moss Street.","Moss Street",99,99,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,I,ESTABLISH,Traffic,"STOP SIGN","Russ Street at Folsom Street, stopping Russ Street. ","Russ Street",199,199,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,J,ESTABLISH,Traffic,"STOP SIGN","Harriet Street at Folsom Street, stopping Harriet Street.","Harriet Street",99,99,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,T,ESTABLISH,Traffic,"STOP SIGN","2nd Avenue and Hugo Street, stopping 2nd Avenue.","2nd Avenue",1245,1245,"Hugo Street",,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,RR,ESTABLISH,Traffic,"STOP SIGN","Foote Avenue and Huron Avenue, stopping Huron Avenue.","Huron Avenue",501,501,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,SS,ESTABLISH,Traffic,"STOP SIGN","Edna Street and Marston Avenue, stopping Marston Avenue. ","Marston Avenue",100,100,,,,,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,S,ESTABLISH,Parking,"RED ZONE","Lincoln Way, south side, from 28th Avenue to 40 feet westerly.","Lincoln Way",2701,2701,,,0,40,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,GG,ESTABLISH,Parking,"RED ZONE","Valencia Street, east side, from 16th Street to 37' southerly.","Valencia Street",501,509,"16th Street",East,0,37,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,HH,ESTABLISH,Parking,"RED ZONE","Valencia Street, west side, from 16th Street to 37' southerly.","Valencia Street",500,510,"16th Street",West,0,37,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,II,ESTABLISH,Parking,"RED ZONE","Valencia Street, west side, from 266' north of 17th Street to 314' north of 17th Street.","Valencia Street",660,662,"17th Street",West,266,314,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,JJ,ESTABLISH,Parking,"RED ZONE","Valencia Street, east side, from 200' north of 17th Street to 248' north of 17th Street.","Valencia Street",623,625,"17th Street",East,200,248,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,KK,ESTABLISH,Parking,"RED ZONE","Valencia Street, west side, from 17th Street to 11' northerly.","Valencia Street",596,598,"17th Street",West,0,11,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,LL,ESTABLISH,Parking,"RED ZONE","Valencia Street, east side, from 17th Street to 11' southerly.","Valencia Street",601,605,"17th Street",East,0,11,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,MM,ESTABLISH,Parking,"RED ZONE","Valencia Street, west side, from 18th Street to 11' northerly.","Valencia Street",696,698,"18th Street",West,0,11,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,NN,ESTABLISH,Parking,"RED ZONE","Valencia Street, east side, from 18th Street to 11' southerly.","Valencia Street",701,705,"18th Street",East,0,11,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,OO,ESTABLISH,Parking,"RED ZONE","Valencia Street, west side, from 150' north of 19th Street to 198' north of 19th Street.","Valencia Street",756,766,"19th Street",West,150,198,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,PP,ESTABLISH,Parking,"RED ZONE","Valencia Street, east side, from 117' north of 19th Street to 165' north of 19th Street.","Valencia Street",769,785,"19th Street",East,117,165,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,TT,REVOKE,Parking,"RED ZONE","Laguna Street, east side, from Sutter Street to 46 feet southerly.","Laguna Street",1692,1698,"Sutter Street",East,0,46,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
2010-01-05,10-002,10.1,CCC,RESCIND,Parking,"RED ZONE","Omar Way, south side, from 201 feet to 225 feet west of Sequoia Way.","Omar Way",87,99,"Sequoia Way",South,201,225,,,,,,,,,,,,,,,,,1-5-10-minutes.pdf,http://sanfrancisco.granicus.com/MediaPlayer.php?view_id=55&clip_id=9162,http://media-06.granicus.com:443/ondemand/sanfrancisco/sanfrancisco_0cd0e20c-d782-45d1-a833-9aec089bf703.mp3
